IPK,Sertifikasi,Sertifikasi Professional,Prestasi Nasional,Kompetisi Top 3 Nasional,Prestasi Internasional,Kompetisi Top 3 Internasional,Intern,Volunteer,Beasiswa,Nilai Bobot,Rank
3.67,6,2,2,1,0,0,7,19,Beasiswa BRI BRILiaN Scholarship,0.1958166216,9854
3.74,1,1,4,0,0,0,6,18,Beasiswa BRI BRILiaN Scholarship,0.1999216441,9547
3.49,8,1,4,0,0,0,3,9,Beasiswa BRI BRILiaN Scholarship,0.1512222497,12464
3.57,3,1,1,0,0,0,6,12,Beasiswa BRI BRILiaN Scholarship,0.157552597,12175
3.27,5,0,0,1,0,0,3,19,Beasiswa BRI BRILiaN Scholarship,0.1383585302,13007
3.29,4,1,3,0,0,0,8,16,Beasiswa BRI BRILiaN Scholarship,0.1453806511,12718
3.39,1,2,3,1,0,0,3,16,Beasiswa BRI BRILiaN Scholarship,0.1509081723,12482
3.69,1,0,2,1,0,0,0,8,Beasiswa BRI BRILiaN Scholarship,0.1634501667,11863
3.75,4,1,3,1,0,0,7,13,Beasiswa BRI BRILiaN Scholarship,0.192018101,10128
3.68,3,1,4,1,0,0,7,15,Beasiswa BRI BRILiaN Scholarship,0.1907200204,10220
3.3,5,2,0,0,0,0,6,22,Beasiswa BRI BRILiaN Scholarship,0.1581594908,12152
3.94,7,2,3,0,0,0,2,17,Beasiswa BRI BRILiaN Scholarship,0.2181465972,8376
3.91,4,1,0,0,0,0,5,24,Beasiswa BRI BRILiaN Scholarship,0.2235018309,8090
3.42,0,1,2,0,0,0,7,8,Beasiswa BRI BRILiaN Scholarship,0.1332348104,13178
4,8,0,3,1,0,0,6,8,Beasiswa BRI BRILiaN Scholarship,0.2154441237,8536
3.73,0,1,0,0,0,0,6,21,Beasiswa BRI BRILiaN Scholarship,0.1962589174,9811
3.53,2,0,4,1,0,0,3,25,Beasiswa BRI BRILiaN Scholarship,0.1941291658,9963
3.28,7,0,1,1,0,0,0,9,Beasiswa BRI BRILiaN Scholarship,0.1090134173,13738
3.84,0,0,1,1,0,0,2,16,Beasiswa BRI BRILiaN Scholarship,0.1960507398,9838
3.89,6,2,2,1,0,0,3,13,Beasiswa BRI BRILiaN Scholarship,0.2048159557,9187
3.85,4,0,0,1,0,0,6,9,Beasiswa BRI BRILiaN Scholarship,0.1896581828,10288
3.34,0,1,0,0,0,0,4,23,Beasiswa BRI BRILiaN Scholarship,0.1581113018,12154
3.66,5,1,4,1,0,0,5,10,Beasiswa BRI BRILiaN Scholarship,0.1768215295,11094
3.55,6,1,2,1,0,0,2,23,Beasiswa BRI BRILiaN Scholarship,0.1855489844,10553
3.41,6,0,4,0,0,0,8,16,Beasiswa BRI BRILiaN Scholarship,0.1626162551,11914
3.42,0,1,2,0,0,0,2,17,Beasiswa BRI BRILiaN Scholarship,0.1478382213,12608
3.25,2,0,4,0,0,0,7,9,Beasiswa BRI BRILiaN Scholarship,0.1230031624,13440
3.36,4,2,3,0,0,0,4,9,Beasiswa BRI BRILiaN Scholarship,0.129942548,13267
3.89,1,2,2,1,0,0,3,25,Beasiswa BRI BRILiaN Scholarship,0.2281431832,7835
3.36,1,1,0,0,0,0,8,15,Beasiswa BRI BRILiaN Scholarship,0.1409744613,12905
3.51,3,0,3,0,0,0,0,17,Beasiswa BRI BRILiaN Scholarship,0.1604314911,12026
3.55,3,2,1,1,0,0,8,13,Beasiswa BRI BRILiaN Scholarship,0.1654670129,11764
3.6,5,0,4,0,0,0,0,26,Beasiswa BRI BRILiaN Scholarship,0.2010224149,9467
4,6,2,4,0,0,0,4,18,Beasiswa BRI BRILiaN Scholarship,0.2310494969,7677
3.64,1,1,3,0,0,0,5,18,Beasiswa BRI BRILiaN Scholarship,0.1833328005,10679
3.62,2,2,2,0,0,0,7,26,Beasiswa BRI BRILiaN Scholarship,0.2056633239,9140
3.28,4,0,4,1,0,0,5,17,Beasiswa BRI BRILiaN Scholarship,0.1473324852,12634
3.56,2,0,1,0,0,0,5,15,Beasiswa BRI BRILiaN Scholarship,0.1599323048,12055
3.66,1,2,2,1,0,0,8,9,Beasiswa BRI BRILiaN Scholarship,0.1736847098,11286
3.28,6,1,4,1,0,0,7,20,Beasiswa BRI BRILiaN Scholarship,0.1634974218,11861
3.99,4,2,1,0,0,0,2,23,Beasiswa BRI BRILiaN Scholarship,0.2302892032,7711
3.28,5,0,0,0,0,0,7,20,Beasiswa BRI BRILiaN Scholarship,0.1473145409,12636
3.25,4,2,0,1,0,0,4,23,Beasiswa BRI BRILiaN Scholarship,0.1560686567,12245
3.36,4,0,2,0,0,0,5,23,Beasiswa BRI BRILiaN Scholarship,0.1650781795,11779
3.8,5,2,1,0,0,0,5,24,Beasiswa BRI BRILiaN Scholarship,0.2152705074,8549
3.63,1,2,2,1,0,0,2,15,Beasiswa BRI BRILiaN Scholarship,0.1730681635,11327
3.5,0,0,0,0,0,0,5,22,Beasiswa BRI BRILiaN Scholarship,0.1710387178,11452
3.38,0,1,0,0,0,0,1,18,Beasiswa BRI BRILiaN Scholarship,0.1419285935,12865
3.53,1,2,4,1,0,0,8,16,Beasiswa BRI BRILiaN Scholarship,0.1790439757,10961
3.55,6,2,2,0,0,0,4,19,Beasiswa BRI BRILiaN Scholarship,0.1757581688,11155
3.5,5,0,2,1,0,0,4,10,Beasiswa BRI BRILiaN Scholarship,0.1455337481,12715
3.69,8,0,4,1,0,0,0,10,Beasiswa BRI BRILiaN Scholarship,0.1773080677,11076
3.79,6,2,2,1,0,0,4,11,Beasiswa BRI BRILiaN Scholarship,0.1898918759,10275
3.67,4,0,0,0,0,0,8,22,Beasiswa BRI BRILiaN Scholarship,0.1953078251,9888
3.51,6,0,0,0,0,0,2,9,Beasiswa BRI BRILiaN Scholarship,0.1377364411,13029
3.86,0,0,3,0,0,0,0,9,Beasiswa BRI BRILiaN Scholarship,0.1883767795,10371
3.89,5,2,2,1,0,0,2,17,Beasiswa BRI BRILiaN Scholarship,0.2108010221,8823
3.4,2,2,3,0,0,0,7,26,Beasiswa BRI BRILiaN Scholarship,0.1880404575,10391
3.89,2,1,1,0,0,0,0,19,Beasiswa BRI BRILiaN Scholarship,0.2066381422,9076
3.92,3,2,0,0,0,0,0,19,Beasiswa BRI BRILiaN Scholarship,0.2110477266,8802
3.75,0,2,4,1,0,0,1,8,Beasiswa BRI BRILiaN Scholarship,0.1820133827,10775
3.89,0,2,2,1,0,0,6,10,Beasiswa BRI BRILiaN Scholarship,0.2013266902,9442
3.98,8,0,2,0,0,0,4,14,Beasiswa BRI BRILiaN Scholarship,0.2144671668,8591
3.26,3,2,3,0,0,0,1,11,Beasiswa BRI BRILiaN Scholarship,0.118325317,13549
3.76,8,0,0,1,0,0,2,8,Beasiswa BRI BRILiaN Scholarship,0.1746163497,11226
3.96,2,1,0,1,0,0,0,14,Beasiswa BRI BRILiaN Scholarship,0.2064374021,9090
3.82,6,0,2,1,0,0,0,26,Beasiswa BRI BRILiaN Scholarship,0.220169413,8266
3.45,7,1,2,1,0,0,6,19,Beasiswa BRI BRILiaN Scholarship,0.1681787345,11615
3.65,2,2,0,0,0,0,4,21,Beasiswa BRI BRILiaN Scholarship,0.1871948868,10450
3.62,3,0,2,1,0,0,5,25,Beasiswa BRI BRILiaN Scholarship,0.1992560593,9603
3.96,3,0,4,0,0,0,3,13,Beasiswa BRI BRILiaN Scholarship,0.2126209176,8712
3.83,0,2,4,1,0,0,0,26,Beasiswa BRI BRILiaN Scholarship,0.2277186442,7858
3.42,1,0,1,1,0,0,0,9,Beasiswa BRI BRILiaN Scholarship,0.1242262628,13417
3.27,1,1,0,0,0,0,6,15,Beasiswa BRI BRILiaN Scholarship,0.1261440537,13362
3.92,0,2,2,0,0,0,2,17,Beasiswa BRI BRILiaN Scholarship,0.2105995365,8836
3.6,5,0,4,1,0,0,8,16,Beasiswa BRI BRILiaN Scholarship,0.1851462198,10585
3.64,4,1,3,0,0,0,6,20,Beasiswa BRI BRILiaN Scholarship,0.1909040599,10205
3.49,7,2,4,0,0,0,2,13,Beasiswa BRI BRILiaN Scholarship,0.1597917885,12062
3.6,0,2,1,0,0,0,1,25,Beasiswa BRI BRILiaN Scholarship,0.1916930523,10151
3.26,7,0,0,1,0,0,8,23,Beasiswa BRI BRILiaN Scholarship,0.1623545796,11922
3.91,7,1,0,0,0,0,1,15,Beasiswa BRI BRILiaN Scholarship,0.2026978005,9352
3.32,0,1,1,0,0,0,8,14,Beasiswa BRI BRILiaN Scholarship,0.1346383182,13128
3.42,6,0,3,1,0,0,3,26,Beasiswa BRI BRILiaN Scholarship,0.1853043444,10571
3.48,2,0,1,1,0,0,5,17,Beasiswa BRI BRILiaN Scholarship,0.1575261666,12177
3.7,5,2,2,0,0,0,4,18,Beasiswa BRI BRILiaN Scholarship,0.1899855939,10266
3.31,0,2,4,1,0,0,0,23,Beasiswa BRI BRILiaN Scholarship,0.1679889213,11630
3.55,8,0,1,0,0,0,0,22,Beasiswa BRI BRILiaN Scholarship,0.177374622,11072
3.8,8,2,1,1,0,0,6,13,Beasiswa BRI BRILiaN Scholarship,0.1963668394,9802
3.98,3,2,0,0,0,0,4,19,Beasiswa BRI BRILiaN Scholarship,0.2208147576,8227
3.38,0,0,2,1,0,0,6,26,Beasiswa BRI BRILiaN Scholarship,0.179987822,10894
3.5,8,2,4,0,0,0,6,14,Beasiswa BRI BRILiaN Scholarship,0.1691151263,11576
3.67,6,1,2,1,0,0,8,8,Beasiswa BRI BRILiaN Scholarship,0.1736172182,11292
3.85,7,0,0,1,0,0,7,19,Beasiswa BRI BRILiaN Scholarship,0.2104982579,8839
3.36,4,2,2,0,0,0,6,12,Beasiswa BRI BRILiaN Scholarship,0.1363120017,13071
3.43,7,2,4,1,0,0,5,13,Beasiswa BRI BRILiaN Scholarship,0.1585066641,12134
3.92,8,2,4,1,0,0,5,23,Beasiswa BRI BRILiaN Scholarship,0.237174083,7399
3.44,6,1,1,1,0,0,5,25,Beasiswa BRI BRILiaN Scholarship,0.1820219226,10771
3.71,7,2,4,1,0,0,0,10,Beasiswa BRI BRILiaN Scholarship,0.1823523558,10742
3.73,0,2,4,0,0,0,7,21,Beasiswa BRI BRILiaN Scholarship,0.2091101393,8917
3.31,8,0,1,0,0,0,1,9,Beasiswa BRI BRILiaN Scholarship,0.1125786104,13673
3.38,0,1,0,1,0,0,7,12,Beasiswa BRI BRILiaN Scholarship,0.1348830871,13121
3.27,1,2,1,0,0,0,7,10,Beasiswa BRI BRILiaN Scholarship,0.1184448796,13547
3.64,0,1,0,0,0,0,3,8,Beasiswa BRI BRILiaN Scholarship,0.1539022892,12339
3.98,4,0,1,1,0,0,0,20,Beasiswa BRI BRILiaN Scholarship,0.2208588796,8224
3.96,0,0,4,0,0,0,4,24,Beasiswa BRI BRILiaN Scholarship,0.2340860642,7539
3.44,2,0,2,1,0,0,8,13,Beasiswa BRI BRILiaN Scholarship,0.1501889807,12509
3.85,8,0,4,1,0,0,8,13,Beasiswa BRI BRILiaN Scholarship,0.2103892536,8844
3.33,7,2,3,0,0,0,7,23,Beasiswa BRI BRILiaN Scholarship,0.1745376219,11228
3.83,0,1,2,0,0,0,1,25,Beasiswa BRI BRILiaN Scholarship,0.2160290349,8500
3.92,0,1,4,0,0,0,1,17,Beasiswa BRI BRILiaN Scholarship,0.2137653821,8634
3.9,7,0,3,0,0,0,2,11,Beasiswa BRI BRILiaN Scholarship,0.2001858127,9529
3.75,4,1,3,1,0,0,1,23,Beasiswa BRI BRILiaN Scholarship,0.2081529771,8984
3.86,2,2,1,0,0,0,1,13,Beasiswa BRI BRILiaN Scholarship,0.1937685985,9990
3.46,4,1,1,0,0,0,2,12,Beasiswa BRI BRILiaN Scholarship,0.1381505346,13012
3.63,8,0,3,1,0,0,8,25,Beasiswa BRI BRILiaN Scholarship,0.2102564913,8849
3.67,6,0,2,0,0,0,3,26,Beasiswa BRI BRILiaN Scholarship,0.2044813644,9207
3.67,6,0,4,0,0,0,7,15,Beasiswa BRI BRILiaN Scholarship,0.1877021596,10418
3.49,6,2,2,0,0,0,6,21,Beasiswa BRI BRILiaN Scholarship,0.1777646775,11046
3.97,0,1,4,0,0,0,3,9,Beasiswa BRI BRILiaN Scholarship,0.2086265837,8944
3.71,1,2,3,1,0,0,8,18,Beasiswa BRI BRILiaN Scholarship,0.2003453716,9521
3.34,5,0,4,0,0,0,5,12,Beasiswa BRI BRILiaN Scholarship,0.1378949179,13021
3.67,6,0,3,0,0,0,6,14,Beasiswa BRI BRILiaN Scholarship,0.1802907636,10879
3.53,3,0,0,0,0,0,4,19,Beasiswa BRI BRILiaN Scholarship,0.1648306889,11793
3.68,5,0,3,1,0,0,8,10,Beasiswa BRI BRILiaN Scholarship,0.1791389792,10952
3.94,1,0,0,1,0,0,5,15,Beasiswa BRI BRILiaN Scholarship,0.2082190313,8981
3.92,1,2,0,1,0,0,7,16,Beasiswa BRI BRILiaN Scholarship,0.2131580844,8679
3.37,8,0,4,1,0,0,7,26,Beasiswa BRI BRILiaN Scholarship,0.1916891189,10153
3.57,8,1,0,0,0,0,8,8,Beasiswa BRI BRILiaN Scholarship,0.1565265483,12220
3.39,3,0,3,0,0,0,1,16,Beasiswa BRI BRILiaN Scholarship,0.1438739792,12794
3.33,0,1,0,1,0,0,4,8,Beasiswa BRI BRILiaN Scholarship,0.1127297139,13670
3.65,2,2,4,0,0,0,8,12,Beasiswa BRI BRILiaN Scholarship,0.1825601444,10731
3.94,1,2,2,0,0,0,1,20,Beasiswa BRI BRILiaN Scholarship,0.218535662,8356
3.93,1,0,1,1,0,0,8,16,Beasiswa BRI BRILiaN Scholarship,0.2140953398,8617
3.91,2,2,0,1,0,0,7,26,Beasiswa BRI BRILiaN Scholarship,0.2340797825,7540
3.28,6,1,2,1,0,0,1,23,Beasiswa BRI BRILiaN Scholarship,0.1584063669,12141
3.69,2,0,0,0,0,0,8,15,Beasiswa BRI BRILiaN Scholarship,0.1799076966,10903
3.89,4,0,4,0,0,0,8,12,Beasiswa BRI BRILiaN Scholarship,0.2090655972,8920
3.79,0,0,0,0,0,0,8,21,Beasiswa BRI BRILiaN Scholarship,0.2048400575,9186
3.85,8,0,1,0,0,0,0,17,Beasiswa BRI BRILiaN Scholarship,0.1995466951,9575
3.86,7,2,4,1,0,0,7,20,Beasiswa BRI BRILiaN Scholarship,0.2260055535,7944
3.32,5,0,1,1,0,0,4,18,Beasiswa BRI BRILiaN Scholarship,0.1425695801,12842
3.31,2,0,4,0,0,0,4,10,Beasiswa BRI BRILiaN Scholarship,0.1261145775,13364
3.5,4,2,2,1,0,0,8,20,Beasiswa BRI BRILiaN Scholarship,0.1804079789,10871
3.98,2,0,4,0,0,0,1,21,Beasiswa BRI BRILiaN Scholarship,0.2278477488,7851
3.35,6,1,4,1,0,0,7,19,Beasiswa BRI BRILiaN Scholarship,0.1666810215,11697
3.41,7,1,4,1,0,0,3,21,Beasiswa BRI BRILiaN Scholarship,0.1737176324,11283
3.44,4,0,0,1,0,0,8,9,Beasiswa BRI BRILiaN Scholarship,0.1386751867,12994
3.66,5,1,4,0,0,0,3,23,Beasiswa BRI BRILiaN Scholarship,0.201694058,9414
3.47,1,0,2,1,0,0,3,25,Beasiswa BRI BRILiaN Scholarship,0.1812827559,10812
3.5,8,2,4,0,0,0,6,10,Beasiswa BRI BRILiaN Scholarship,0.1608985617,12000
3.29,0,1,3,1,0,0,8,25,Beasiswa BRI BRILiaN Scholarship,0.1767817881,11097
3.84,4,2,3,1,0,0,6,16,Beasiswa BRI BRILiaN Scholarship,0.2091955608,8911
3.73,8,0,2,0,0,0,1,24,Beasiswa BRI BRILiaN Scholarship,0.2049422656,9176
3.38,0,1,0,1,0,0,2,11,Beasiswa BRI BRILiaN Scholarship,0.1241584265,13421
3.38,3,2,4,1,0,0,5,16,Beasiswa BRI BRILiaN Scholarship,0.1579143406,12166
3.9,7,1,2,1,0,0,5,17,Beasiswa BRI BRILiaN Scholarship,0.2140489067,8620
3.58,3,2,0,1,0,0,6,8,Beasiswa BRI BRILiaN Scholarship,0.1549278464,12296
3.31,4,0,2,0,0,0,0,24,Beasiswa BRI BRILiaN Scholarship,0.1596163198,12074
3.38,4,2,2,0,0,0,4,19,Beasiswa BRI BRILiaN Scholarship,0.1557352226,12260
3.86,2,0,3,0,0,0,3,20,Beasiswa BRI BRILiaN Scholarship,0.2106126371,8835
3.34,0,2,2,0,0,0,5,17,Beasiswa BRI BRILiaN Scholarship,0.1450383976,12733
3.34,0,1,4,0,0,0,2,8,Beasiswa BRI BRILiaN Scholarship,0.1240184622,13422
3.82,1,2,2,1,0,0,1,8,Beasiswa BRI BRILiaN Scholarship,0.1848767631,10604
3.61,1,2,4,0,0,0,3,24,Beasiswa BRI BRILiaN Scholarship,0.1998390449,9553
3.52,0,1,4,0,0,0,5,16,Beasiswa BRI BRILiaN Scholarship,0.1680712726,11625
3.76,1,1,0,1,0,0,2,16,Beasiswa BRI BRILiaN Scholarship,0.1861273739,10513
3.75,7,1,1,0,0,0,3,9,Beasiswa BRI BRILiaN Scholarship,0.1749951296,11205
3.53,3,2,4,0,0,0,8,12,Beasiswa BRI BRILiaN Scholarship,0.1685764023,11600
3.94,3,1,0,0,0,0,4,23,Beasiswa BRI BRILiaN Scholarship,0.2230508636,8109
3.91,7,1,2,1,0,0,3,22,Beasiswa BRI BRILiaN Scholarship,0.2238166829,8068
3.78,4,0,2,1,0,0,0,20,Beasiswa BRI BRILiaN Scholarship,0.1996371657,9566
3.5,4,1,3,0,0,0,8,12,Beasiswa BRI BRILiaN Scholarship,0.158738983,12119
3.55,1,0,4,0,0,0,7,25,Beasiswa BRI BRILiaN Scholarship,0.1986157907,9650
3.79,1,1,0,1,0,0,4,15,Beasiswa BRI BRILiaN Scholarship,0.1896400951,10290
3.61,4,2,4,1,0,0,0,24,Beasiswa BRI BRILiaN Scholarship,0.2010462969,9464
3.89,1,1,4,0,0,0,6,11,Beasiswa BRI BRILiaN Scholarship,0.2048457021,9183
3.49,3,2,4,1,0,0,8,21,Beasiswa BRI BRILiaN Scholarship,0.1888651909,10336
3.9,0,1,3,1,0,0,0,24,Beasiswa BRI BRILiaN Scholarship,0.2251971158,7995
3.39,8,2,1,0,0,0,1,21,Beasiswa BRI BRILiaN Scholarship,0.1613371238,11976
3.38,5,0,3,0,0,0,2,23,Beasiswa BRI BRILiaN Scholarship,0.1674624668,11655
3.79,7,1,0,0,0,0,4,20,Beasiswa BRI BRILiaN Scholarship,0.2011363802,9456
4,5,1,3,0,0,0,2,18,Beasiswa BRI BRILiaN Scholarship,0.2240962492,8051
3.46,0,2,1,0,0,0,7,14,Beasiswa BRI BRILiaN Scholarship,0.1516011491,12454
3.36,2,2,2,0,0,0,6,24,Beasiswa BRI BRILiaN Scholarship,0.1728235153,11346
3.93,1,2,3,0,0,0,0,16,Beasiswa BRI BRILiaN Scholarship,0.2114507898,8778
3.74,0,2,1,10,0,0,6,49,Beasiswa BSI,0.3329997209,3351
3.64,2,1,1,3,0,0,7,29,Beasiswa BSI,0.2229055959,8114
3.17,0,2,6,0,0,0,6,39,Beasiswa BSI,0.2308810732,7686
3.69,0,0,10,1,0,0,8,21,Beasiswa BSI,0.2379195293,7360
3.78,0,1,6,1,0,0,12,29,Beasiswa BSI,0.2513156658,6768
3.37,1,1,8,1,0,0,4,14,Beasiswa BSI,0.1750123903,11200
3.62,2,1,2,4,0,0,9,25,Beasiswa BSI,0.220412026,8251
3.77,2,1,0,5,0,0,13,17,Beasiswa BSI,0.2275224623,7862
3.79,2,0,10,9,0,0,7,20,Beasiswa BSI,0.2919755579,5043
3.05,1,1,6,5,0,0,10,36,Beasiswa BSI,0.2423222375,7157
3.47,2,2,3,8,0,0,1,11,Beasiswa BSI,0.2062940383,9099
3.41,2,2,7,6,0,0,1,36,Beasiswa BSI,0.2622932421,6308
3.78,1,1,3,3,0,0,12,40,Beasiswa BSI,0.279301215,5609
3.06,1,2,3,8,0,0,2,19,Beasiswa BSI,0.1967083562,9779
3.59,1,2,4,9,0,0,4,48,Beasiswa BSI,0.3205208902,3833
3.85,0,1,2,4,0,0,0,11,Beasiswa BSI,0.2041620962,9235
3.06,2,1,3,2,0,0,10,53,Beasiswa BSI,0.2772031583,5692
3.37,2,2,7,10,0,0,0,18,Beasiswa BSI,0.250770413,6798
3.44,1,2,2,3,0,0,6,20,Beasiswa BSI,0.1787382952,10983
3.4,2,2,6,7,0,0,2,49,Beasiswa BSI,0.304906099,4487
3.87,1,0,5,9,0,0,11,48,Beasiswa BSI,0.3438809407,3000
3.17,0,0,9,8,0,0,0,11,Beasiswa BSI,0.2134209284,8661
3.89,0,0,0,9,0,0,3,22,Beasiswa BSI,0.2645900276,6206
3.78,1,0,9,9,0,0,5,31,Beasiswa BSI,0.3055264021,4458
3.96,2,1,6,10,0,0,4,10,Beasiswa BSI,0.2790984122,5620
3.57,2,2,3,10,0,0,13,10,Beasiswa BSI,0.2528725506,6708
3.56,2,1,1,5,0,0,11,22,Beasiswa BSI,0.2155821555,8527
3.37,2,1,6,8,0,0,12,27,Beasiswa BSI,0.2593923317,6435
3.16,1,0,10,6,0,0,10,24,Beasiswa BSI,0.2404325697,7239
3.09,0,0,2,5,0,0,12,48,Beasiswa BSI,0.2737979537,5837
3.1,1,2,1,3,0,0,2,51,Beasiswa BSI,0.2634364809,6253
3.56,0,0,5,4,0,0,9,42,Beasiswa BSI,0.2746648295,5790
3.37,0,1,3,1,0,0,6,11,Beasiswa BSI,0.1369928281,13050
3.6,1,0,6,5,0,0,0,35,Beasiswa BSI,0.2562955853,6572
3.9,1,0,4,7,0,0,6,53,Beasiswa BSI,0.3366801042,3225
3.98,1,2,0,3,0,0,10,17,Beasiswa BSI,0.2340210568,7546
3.58,1,0,7,9,0,0,4,36,Beasiswa BSI,0.2949391813,4921
3.75,2,0,6,4,0,0,14,19,Beasiswa BSI,0.2415647698,7196
3.69,0,0,9,6,0,0,2,18,Beasiswa BSI,0.2448908128,7039
3.8,0,2,9,4,0,0,12,16,Beasiswa BSI,0.2547917714,6629
3.83,2,1,8,4,0,0,9,50,Beasiswa BSI,0.3274541555,3554
3.59,1,0,2,10,0,0,4,12,Beasiswa BSI,0.2372045014,7393
3.88,2,0,0,5,0,0,10,40,Beasiswa BSI,0.2865338931,5284
3.12,1,1,1,6,0,0,7,22,Beasiswa BSI,0.1832589072,10692
3.6,0,0,10,5,0,0,5,49,Beasiswa BSI,0.3183895016,3923
3.23,2,0,7,9,0,0,9,35,Beasiswa BSI,0.2808949495,5542
3.15,2,2,10,6,0,0,12,26,Beasiswa BSI,0.2527383239,6713
3.13,1,1,2,1,0,0,5,48,Beasiswa BSI,0.249207348,6858
3.66,0,2,0,1,0,0,9,39,Beasiswa BSI,0.2509564199,6788
3.51,2,1,3,4,0,0,11,33,Beasiswa BSI,0.2416036233,7194
3.7,1,0,1,1,0,0,0,36,Beasiswa BSI,0.2341817726,7535
3.39,0,2,0,4,0,0,4,52,Beasiswa BSI,0.2828938557,5444
3.52,2,2,3,9,0,0,8,32,Beasiswa BSI,0.2753921448,5758
3.41,2,1,0,9,0,0,3,30,Beasiswa BSI,0.249175703,6859
3.23,2,1,7,1,0,0,4,49,Beasiswa BSI,0.271927393,5909
3.75,1,1,5,2,0,0,6,24,Beasiswa BSI,0.2252570657,7993
3.8,0,0,4,10,0,0,1,49,Beasiswa BSI,0.3349957364,3281
3.87,2,2,7,6,0,0,5,36,Beasiswa BSI,0.2972749286,4827
3.63,0,0,6,2,0,0,14,14,Beasiswa BSI,0.2093718457,8896
3.08,2,2,10,10,0,0,7,25,Beasiswa BSI,0.2757626458,5742
3.45,2,2,0,3,0,0,0,10,Beasiswa BSI,0.1445525962,12757
3.23,1,1,4,7,0,0,6,37,Beasiswa BSI,0.2543031243,6647
3.73,2,0,0,3,0,0,2,22,Beasiswa BSI,0.2040627183,9247
3.11,2,0,5,5,0,0,9,10,Beasiswa BSI,0.1588707617,12113
3.21,0,2,3,3,0,0,0,43,Beasiswa BSI,0.2410894931,7212
3.89,2,2,6,5,0,0,3,34,Beasiswa BSI,0.2817498497,5502
3.09,0,2,3,5,0,0,10,31,Beasiswa BSI,0.2161722621,8488
3.5,2,2,10,10,0,0,0,39,Beasiswa BSI,0.319647056,3870
3.44,1,1,4,4,0,0,4,48,Beasiswa BSI,0.2792262243,5613
3.92,1,0,2,9,0,0,2,42,Beasiswa BSI,0.3143215893,4093
3.54,2,2,7,2,0,0,13,10,Beasiswa BSI,0.2006219919,9499
3.55,1,2,5,8,0,0,8,19,Beasiswa BSI,0.2430874364,7111
3.27,0,1,2,1,0,0,0,16,Beasiswa BSI,0.1284075256,13308
3.97,0,1,7,3,0,0,7,39,Beasiswa BSI,0.2966891228,4848
3.34,1,0,1,3,0,0,12,14,Beasiswa BSI,0.1602344021,12037
3.21,0,1,2,4,0,0,12,53,Beasiswa BSI,0.2907186792,5094
3.57,0,2,2,0,0,0,12,39,Beasiswa BSI,0.2503677491,6817
3.51,0,2,2,9,0,0,3,41,Beasiswa BSI,0.290503329,5104
3.29,1,1,9,10,0,0,14,47,Beasiswa BSI,0.3414985038,3080
3.26,1,1,9,10,0,0,5,24,Beasiswa BSI,0.2701814411,5975
3.94,2,2,8,2,0,0,10,42,Beasiswa BSI,0.3084641723,4343
3.17,2,1,0,1,0,0,9,18,Beasiswa BSI,0.1370927734,13045
3.07,0,2,7,4,0,0,8,42,Beasiswa BSI,0.2605563312,6386
3.62,0,0,9,8,0,0,12,28,Beasiswa BSI,0.2899107898,5133
3.79,2,2,9,3,0,0,6,32,Beasiswa BSI,0.2749963863,5776
3.01,2,1,10,10,0,0,2,45,Beasiswa BSI,0.3165493352,4003
3.64,1,1,9,0,0,0,8,31,Beasiswa BSI,0.2511405712,6775
3.75,2,2,3,2,0,0,11,23,Beasiswa BSI,0.2260687622,7937
3.79,1,2,8,1,0,0,14,50,Beasiswa BSI,0.3221764907,3776
3.99,2,2,2,2,0,0,3,12,Beasiswa BSI,0.2171305683,8439
3.34,2,0,9,3,0,0,2,45,Beasiswa BSI,0.2768976917,5702
3.61,2,0,8,5,0,0,5,42,Beasiswa BSI,0.2907698157,5091
3.78,2,2,3,10,0,0,10,29,Beasiswa BSI,0.2975979848,4812
3.87,2,0,9,3,0,0,9,51,Beasiswa BSI,0.330498725,3434
3.27,1,0,2,5,0,0,2,42,Beasiswa BSI,0.2473322006,6930
3.11,1,0,8,0,0,0,5,30,Beasiswa BSI,0.2028762408,9336
3.6,2,0,10,4,0,0,14,10,Beasiswa BSI,0.2358370751,7458
3.12,1,2,8,6,0,0,6,29,Beasiswa BSI,0.2363422584,7432
3.79,1,0,6,8,0,0,0,43,Beasiswa BSI,0.3109992868,4231
3.11,2,2,7,1,0,0,10,47,Beasiswa BSI,0.2700270821,5986
3.46,0,2,5,8,0,0,3,22,Beasiswa BSI,0.2363986362,7430
4,0,1,8,4,0,0,13,37,Beasiswa BSI,0.3110983743,4226
3.22,0,0,5,2,0,0,0,10,Beasiswa BSI,0.1261467779,13360
3.33,0,1,3,6,0,0,3,24,Beasiswa BSI,0.2026196977,9364
3.29,1,1,5,10,0,0,11,29,Beasiswa BSI,0.2736188891,5845
3.77,2,2,6,7,0,0,1,26,Beasiswa BSI,0.2642342996,6225
3.22,1,1,5,5,0,0,2,18,Beasiswa BSI,0.1752210346,11186
3.77,2,1,9,8,0,0,12,53,Beasiswa BSI,0.3614359248,2534
3.81,1,2,8,5,0,0,6,50,Beasiswa BSI,0.328987512,3495
3.8,2,0,10,9,0,0,10,29,Beasiswa BSI,0.3141266804,4100
3.42,0,1,9,10,0,0,12,22,Beasiswa BSI,0.2843102819,5394
3.65,1,1,0,9,0,0,3,32,Beasiswa BSI,0.2698081527,5995
